method,dataset,correct,wrong,mean_cost,std_cost,mean_length,std_length,mean_evaluation,std_evaluation
mcts,syn_long,0.92,0.07999999999999996,21.634782608695645,12.953683669324139,4.869565217391305,1.2872062037467358,28.69,8.791694944662265
mcts,german,1.0,0.0,19.294117647058822,3.8845804661409544,3.8529411764705883,0.3541645464350675,23.764705882352942,2.818623188402574
mcts,syn,0.98,0.020000000000000018,21.048979591836734,17.15522913615173,4.775510204081633,1.594189783627535,28.26,10.798722146624572
mcts,adult,0.93,0.06999999999999995,36.94623118816668,11.529916640785519,4.913978494623656,0.9117620183096805,30.34,7.911030274243678
program,syn_long,0.87,0.13,21.702298850574707,12.963458608068379,4.850574712643678,1.2642633185657546,0.0,0.0
program,german,0.9411764705882353,0.05882352941176472,18.3125,4.516895366288663,3.75,0.4330127018922193,0.0,0.0
program,syn,0.99,0.010000000000000009,22.04848484848484,17.39590897939706,4.898989898989899,1.6174237495958057,0.0,0.0
program,adult,0.66,0.33999999999999997,39.156744391971664,9.49683879405138,5.0606060606060606,0.8506465968253455,0.0,0.0
agent_only,syn_long,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
agent_only,german,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
agent_only,syn,0.59,0.41000000000000003,15.10508474576271,10.105602133685235,3.305084745762712,1.0775716152713446,0.0,0.0
agent_only,adult,0.01,0.99,10.0,0.0,5.0,0.0,0.0,0.0
cscf,syn_long,0.48,0.52,11.233333333333333,5.330155303136631,2.6875,0.6817945071647321,255050.0,0.0
cscf,german,1.0,0.0,11.617647058823529,3.2900447510129434,2.176470588235294,0.3812200410828153,255050.0,0.0
cscf,syn,0.73,0.27,13.547945205479454,4.496150852690359,3.0273972602739727,0.6819111487481447,255050.0,0.0
cscf,adult,0.77,0.22999999999999998,17.495415190869736,11.046248710111218,2.5714285714285716,0.590587896150757,255050.0,0.0
cscf_small,german,0.9705882352941176,0.02941176470588236,11.878787878787879,4.339791754238457,2.1818181818181817,0.4575657233497424,32525.0,0.0
cscf_small,adult,0.62,0.38,16.381539159764966,10.023666528721487,2.3548387096774195,0.5707034197727139,32525.0,0.0
cscf_small,syn,0.48,0.52,12.979166666666666,5.362911147149673,2.8958333333333335,0.7427309779156619,32525.0,0.0
cscf_small,syn_long,0.4,0.6,13.239999999999998,7.012553030102517,2.925,0.9051933495115836,32525.0,0.0
